scenario,event_type,count,mean_total_response_ms,median_total_response_ms,std_total_response_ms,q25_total_response_ms,q75_total_response_ms,mean_resolution_ms,median_resolution_ms,mean_total_response_s,mean_resolution_s
3m_1k,machineFailure,36,804188.7222222222,834412.0,492064.4767445834,353981.25,1208072.0,802183.2222222222,832408.0,804.1887222222223,802.1832222222223
3m_1k,newMachine,55,107898.5090909091,70003.0,122442.87076063838,22502.0,141631.5,80232.74545454545,62731.0,107.89850909090909,80.23274545454545
3m_1k,storageAlert,9,175254.33333333334,153014.0,148714.94452138964,54801.0,279048.0,155090.0,152944.0,175.25433333333334,155.09
3m_2k,machineFailure,57,2511026.50877193,2571555.0,739834.5490046148,2103031.0,2970418.0,2338539.2280701753,2407387.0,2511.02650877193,2338.5392280701753
3m_2k,newMachine,38,119291.1052631579,55732.0,148449.69027846577,13751.5,178273.25,68006.84210526316,33531.0,119.29110526315789,68.00684210526316
3m_2k,storageAlert,5,262045.4,91268.0,286077.79021762597,72195.0,453258.0,108160.2,32167.0,262.0454,108.1602
5m_1k,machineFailure,13,981465.0,732201.0,655531.4895617143,567896.0,1503883.0,901146.0769230769,645356.0,981.465,901.1460769230769
5m_1k,newMachine,65,107783.76923076923,80339.0,97516.04884433917,30017.0,155093.0,101609.53846153847,79689.0,107.78376923076924,101.60953846153846
5m_1k,storageAlert,22,138929.0,86874.0,117562.66612889201,35110.75,250584.75,122366.63636363637,67837.0,138.929,122.36663636363637
5m_2k,machineFailure,52,1304184.8076923077,669730.5,1288176.9615393174,184872.0,2444365.75,691130.8653846154,378641.0,1304.1848076923077,691.1308653846154
5m_2k,newMachine,122,117922.85245901639,65375.5,145728.22091063802,16269.0,149218.25,84144.26229508196,50376.0,117.92285245901638,84.14426229508196
5m_2k,storageAlert,26,219442.8076923077,128949.0,217984.24293219348,36285.75,380701.25,199046.07692307694,117232.5,219.4428076923077,199.04607692307692
5m_3k,machineFailure,27,814026.925925926,686212.0,518215.5501069124,401290.5,1318096.0,812018.074074074,684203.0,814.026925925926,812.0180740740741
5m_3k,newMachine,67,85333.31343283581,35023.0,138346.63048992347,15005.5,95602.5,62411.08955223881,26383.0,85.33331343283581,62.411089552238806
5m_3k,storageAlert,6,172017.83333333334,151032.0,154054.00180769945,55273.0,271368.5,111216.33333333333,36689.5,172.01783333333336,111.21633333333332
5m_4k,machineFailure,25,887375.6,891725.0,590623.8026375871,377598.0,1298626.0,805277.48,738190.0,887.3756,805.27748
5m_4k,newMachine,117,124857.35897435897,95005.0,136104.3930258645,20003.0,147454.0,80937.51282051283,63982.0,124.85735897435897,80.93751282051282
5m_4k,storageAlert,17,158040.5294117647,154805.0,137704.1669518018,10414.0,244999.0,120683.58823529411,110678.0,158.0405294117647,120.68358823529411
