event_id,event_type,trigger_ts,trigger_source,reaction_ts,reaction_type,solved_ts,related_machine_id,related_alert_id,resolution_time_ms,total_response_time_ms,metadata
newMachine:machine_0:1763848245409,newMachine,1763848245409,cutting_machine_discovery,1763848245445,AssignBlade,1763848250409,0,,36,5000,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_1:1763848245488,newMachine,1763848245488,cutting_machine_discovery,1763848245517,AssignBlade,1763848250489,1,,29,5001,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_2:1763848245514,newMachine,1763848245514,cutting_machine_discovery,1763848245528,AssignBlade,1763848250514,2,,14,5000,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_1:1763848315492,machineFailure,1763848315492,heartbeat_monitor,1763848327922,SwapBlade,1763848329924,1,,12430,14432,"{""swap_target_machine"": 0}"
newMachine:machine_1:1763848337912,newMachine,1763848337912,cutting_machine_discovery,1763848405627,AssignBlade,1763848407915,1,,67715,70003,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_2:1763848373352,newMachine,1763848373352,cutting_machine_discovery,1763848413362,AssignBlade,1763848418354,2,,40010,45002,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_0:1763848418834,newMachine,1763848418834,cutting_machine_discovery,1763848418841,AssignBlade,1763848423833,0,,7,4999,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_1:1763848422915,machineFailure,1763848422915,heartbeat_monitor,1763849988241,SwapBlade,1763849990245,1,,1565326,1567330,"{""swap_target_machine"": 2}"
newMachine:machine_1:1763848454300,newMachine,1763848454300,cutting_machine_discovery,1763848666224,AssignBlade,1763848819005,1,,211924,364705,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_1:1763848469301,machineFailure,1763848469301,heartbeat_monitor,1763849988241,SwapBlade,1763849990245,1,,1518940,1520944,"{""swap_target_machine"": 2}"
newMachine:machine_2:1763848540451,newMachine,1763848540451,cutting_machine_discovery,1763848665463,AssignBlade,1763848670457,2,,125012,130006,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
storageAlert:c4e90ff4-ca07-441e-850b-4c0acee718ae:problem_fresh:1763848549977,storageAlert,1763848549977,dbInterface,1763848759003,ChangeFreshAmount,1763848829025,,c4e90ff4-ca07-441e-850b-4c0acee718ae,209026,279048,"{""triggerTs"": 1763848549977, ""bDry"": 50.0, ""problemCategory"": ""fresh"", ""bFresh"": 22.0, ""aDry"": 81.0, ""aFresh"": 47.0, ""alertId"": ""c4e90ff4-ca07-441e-850b-4c0acee718ae"", ""title"": ""StorageAlert"", ""_collected_at"": 1763848550047}"
machineFailure:machine_1:1763848555006,machineFailure,1763848555006,heartbeat_monitor,1763849988241,SwapBlade,1763849990245,1,,1433235,1435239,"{""swap_target_machine"": 2}"
newMachine:machine_0:1763848626579,newMachine,1763848626579,cutting_machine_discovery,1763848696931,AssignBlade,1763848701924,0,,70352,75345,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_1:1763848666217,machineFailure,1763848666217,heartbeat_monitor,1763849988241,SwapBlade,1763849990245,1,,1322024,1324028,"{""swap_target_machine"": 2}"
machineFailure:machine_1:1763848702357,machineFailure,1763848702357,heartbeat_monitor,1763849988241,SwapBlade,1763849990245,1,,1285884,1287888,"{""swap_target_machine"": 2}"
machineFailure:machine_1:1763848748027,machineFailure,1763848748027,heartbeat_monitor,1763849988241,SwapBlade,1763849990245,1,,1240214,1242218,"{""swap_target_machine"": 2}"
machineFailure:machine_1:1763848793555,machineFailure,1763848793555,heartbeat_monitor,1763849988241,SwapBlade,1763849990245,1,,1194686,1196690,"{""swap_target_machine"": 2}"
machineFailure:machine_1:1763848829006,machineFailure,1763848829006,heartbeat_monitor,1763849988241,SwapBlade,1763849990245,1,,1159235,1161239,"{""swap_target_machine"": 2}"
newMachine:machine_1:1763848854485,newMachine,1763848854485,cutting_machine_discovery,1763848861969,AssignBlade,1763848864486,1,,7484,10001,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_2:1763848894953,newMachine,1763848894953,cutting_machine_discovery,1763848951510,AssignBlade,1763848955444,2,,56557,60491,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
